Description,Followers_count,Following_count,HCP_flag
Medical oncologist Musician Hardened reader Protest by nature Apple Addict,1133,592,1
The portrait of health is the first Italian project on healthy medicine with the main scientific societies of the Presidency of the Council and CONI,700,903,0
,408,306,0
The Grosser All-American National Football Offensive Q&A,1442,1441,0
General pediatrician medical educator UME health care delivery and improvement All tweets are my own follow does not endorsement,96,159,1
The OFFICIAL Twitter page of Actor Producer Director Tyler Perry,1,34,0
,106,244,0
Credentialed healthcare advocacy consultant speaker and educator,3166,3295,0
Actor Producer and LOVE IT,419,875,0
Passionate coffee lover Tv ninja Pop culture trailblazer Web specialist,147,1795,0
δημοκρατία Democracy is nothing but the power of citizens against elites Those from below versus those from above,2562,795,0
Traveler and freelance photographer based in Georgia Tweeting about medicine Africa politics and soccer Rt not endorsements,33,110,0
Writer science lover and world traveler All tweets are my own,169,404,0
Neurosurgeon PhD on intraoperative MRI developer of mobile apps clinical decision support systems IT editor for Surgical Neurology International,2515,211,1
Reinventing myself B wise working smart,448,471,0
It seemed like a good idea and I came F1 Real Sociedad and other manias and tares Pissed off with the mistreatment of Public Health and Education Ea,192,415,0
Boca I carry you in my soul and every day I love you more a thousand mile road begins with a single step,389,362,0
Futures equities Trader News way before CNN Digging deep for important pre US market World news which may impact financial markets,731,1098,0
The music saves my soul ElectronicMusic Rave PLUR,790,671,0
,307,24,0
Mom teacher sweet friend traveling musician live Paul Mc Cartney Let's respect the laws,231,888,0
Account created with the sole purpose of reporting on the oppression and theft suffered by Palestine,24060,22965,0
17 Call the largest person in the world Daniel Martínez 260612 171213 Mattress 1903 Teo small,188,136,0
Rare combination between conceit and pure sweetness They will never see me deny that I hope Blanquiazul until I die,772,329,0
I AM A BURNER SINCE I WAS BORN AND I AM GOING TO DIE Parque Patricios Bs As Argentina,532,549,0
Pharmacist Certified Financial Planner Father of 4,65,68,1
Professor and Chair Hematology Medical Oncology Deputy Director Mayo Clinic Cancer Center Views expressed on Twitter are personal opinion,213,24,1
Boca Juniors Gives Joy to My Heart c CABJ AND NOTHING MORE Fan of the Soul JONATHAN CALLERI The true path to success is dedication and perseverance,613,606,0
35yr old female kid at heart Passionate about Spirit through EVERY Art form by profession yet I now just watch sense support advise encourage Blessed,189,427,0
VP Product and Business Development at yikyakapp Information junkie comic book geek Fandroid ex VC consultant scientist,766,517,1
,831,484,0
